ori,des,path,len,time_step
324,32,324_326_280_397_385_91_85_314_347_83_77_75_310_237_232_32,16,11
390,355,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_363_355,22,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
238,306,238_400_286_235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,25,11
336,392,336_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,17,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,11
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,11
345,261,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_276_267_265_262_261,35,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,11
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
283,4,283_21_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,22,11
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,11
400,391,400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,18,11
238,325,238_400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,19,11
414,242,414_252_334_157_176_177_189_190_211_202_235_245_239_241_242,15,11
144,325,144_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,19,11
238,162,238_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,16,11
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,11
238,162,238_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,16,11
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,11
345,32,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_32,17,11
283,8,283_21_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,21,11
238,392,238_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,11
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,11
323,392,323_28_143_65_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,29,11
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,11
345,347,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_348_347,25,11
324,417,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_417,24,11
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_35_338_361_353_51,24,11
324,197,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_197,18,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
324,162,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,28,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
395,222,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_181_222,18,11
324,399,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_238_399,19,11
324,415,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162_415,29,11
345,32,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_32,17,11
55,391,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,28,11
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124_116_278_275_273_372_306,28,11
324,200,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200,17,11
55,391,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,28,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
345,185,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185,15,11
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124_116_278_276_267_265_262_261_260,30,11
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,11
77,4,77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,16,11
331,392,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,26,11
395,80,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,20,11
324,227,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227,22,11
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,25,11
324,222,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_416_422_335_176_177_189_191_193_181_222,33,12
395,281,395_7_340_27_72_409_365_362_358_380_377_42_47_355_20_23_73_22_329_89_281,21,12
345,185,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185,15,12
331,162,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,23,12
347,204,347_83_77_75_310_237_232_33_30_236_376_231_198_197_291_299_204,17,12
395,392,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,28,12
